# City name -> IANA time zone, sorted by name for binary search.
# Generated by scripts/cities.py from GeoNames cities15000 (https://www.geonames.org),
# licensed under CC BY 4.0. Do not edit by hand.
abu al matamir	Africa/Cairo
abu an numrus	Africa/Cairo
abu dabi	Asia/Dubai
abu dabi khot	Asia/Dubai
abu dabio	Asia/Dubai
abu dabis	Asia/Dubai
abu daby	Asia/Dubai
abu daibi	Asia/Dubai
abu dhabi	Asia/Dubai
abu dhabi emiraat	Asia/Dubai
abu dhabi island and internal islands city	Asia/Dubai
abu dzabi	Asia/Dubai
abu gharaq	Asia/Baghdad
abu ghraib	Asia/Baghdad
abu ghraib abw ghryb	Asia/Baghdad
abu ghraib farms	Asia/Baghdad
abu ghuraib	Asia/Baghdad
abu ghurayb	Asia/Baghdad
abu grejb	Asia/Baghdad
abu hammad	Africa/Cairo
abu hayl	Asia/Dubai
abu hummus	Africa/Cairo
abu jibeha	Africa/Khartoum
abu kabir	Africa/Cairo
abu qir	Africa/Cairo
abu qurqas	Africa/Cairo
abu road	Asia/Kolkata
abu suweir el mahatta	Africa/Cairo
abu tij	Africa/Cairo
abu tisht	Africa/Cairo
abu zabad	Africa/Khartoum
abu zabi	Asia/Dubai
abu zaby	Asia/Dubai
abu zabye	Asia/Dubai
abu zabyo	Asia/Dubai
abuca	Africa/Lagos
abucay	Asia/Manila
abudabi	Asia/Dubai
abudhabi	Asia/Dubai
abudz	Africa/Lagos
abudza	Africa/Lagos
abudzha	Africa/Lagos
abugia	Africa/Lagos
abugo	Africa/Lagos
abuja	Africa/Lagos
abuko	Africa/Banjul
aburi	Africa/Accra
abuya	Africa/Lagos
abuyog	Asia/Manila
abuzha	Africa/Lagos
abw ghryb	Asia/Baghdad
abw zby	Asia/Dubai
abwja	Africa/Lagos
abwkata	Africa/Lagos
abwzby	Asia/Dubai
abydjan	Africa/Abidjan
abyei	Africa/Khartoum
abyek	Asia/Tehran
abyjan	Africa/Abidjan
abywkwta	Africa/Lagos
abéché	Africa/Ndjamena
abū al kahṣīb	Asia/Baghdad
abū al maţāmīr	Africa/Cairo
abū an numrus	Africa/Cairo
abū ghurayb	Asia/Baghdad
abū hayl	Asia/Dubai
abū kabīr	Africa/Cairo
abū qurqāş	Africa/Cairo
abū qīr	Africa/Cairo
abū tīj	Africa/Cairo
abū zabad	Africa/Khartoum
abū ţisht	Africa/Cairo
abū ḩammād	Africa/Cairo
abū ḩummuş	Africa/Cairo
abū ‘arīsh	Asia/Riyadh
acacias	America/Bogota
acacías	America/Bogota
acailandia	America/Fortaleza
acajete	America/Mexico_City
acajutiba	America/Bahia
acajutla	America/El_Salvador
acambaro	America/Mexico_City
acapolco juarez	America/Mexico_City
acaponeta	America/Mazatlan
acapulco	America/Mexico_City
acapulco acapulco de juarez	America/Mexico_City
acapulco de juarez	America/Mexico_City
acapulco de juárez	America/Mexico_City
acapulcum	America/Mexico_City
acara	America/Belem
acarau	America/Fortaleza
acaraú	America/Fortaleza
acari	America/Sao_Paulo
acarigua	America/Caracas
acará	America/Belem
acatlan de osorio	America/Mexico_City
acatlán de osorio	America/Mexico_City
acatzingo	America/Mexico_City
acayucan	America/Mexico_City
accra	Africa/Accra
accrington	Europe/London
acerra	Europe/Rome
achaguas	America/Caracas
achalpur	Asia/Kolkata
achampet	Asia/Kolkata
acharipallam vaniyakudi	Asia/Kolkata
acharnes	Europe/Athens
acharnés	Europe/Athens
acheng	Asia/Shanghai
acheres	Europe/Paris
achern	Europe/Berlin
achgabat	Asia/Ashgabat
achhibal	Asia/Kolkata
achhnera	Asia/Kolkata
achhībal	Asia/Kolkata
achim	Europe/Berlin
achinsk	Asia/Krasnoyarsk
achkhabad	Asia/Ashgabat
achkhoy martan	Europe/Moscow
achmentampant	Asia/Kolkata
achocalla	America/La_Paz
achères	Europe/Paris
aci castello	Europe/Rome
aci catena	Europe/Rome
acilia castel fusano ostia antica	Europe/Rome
acireale	Europe/Rome
acmer	Asia/Kolkata
acocks green	Europe/London
acopiara	America/Fortaleza
acornhoek	Africa/Johannesburg
acquaviva delle fonti	Europe/Rome
acqui terme	Europe/Rome
acra	Africa/Accra
acreuna	America/Sao_Paulo
acreúna	America/Sao_Paulo
actarkhan	Europe/Astrakhan
acton	Europe/London
actopan	America/Mexico_City
acu	America/Fortaleza
acukapat	Asia/Ashgabat
acunciyon	America/Asuncion
acworth	America/New_York
acámbaro	America/Mexico_City
ad damazin	Africa/Khartoum
ad damir	Africa/Khartoum
ad dammam	Asia/Riyadh
ad damman	Asia/Riyadh
ad dana	Asia/Damascus
ad dar al bayda	Africa/Casablanca
ad dar al bayda'	Africa/Casablanca
ad darbasiyah	Asia/Damascus
ad darbāsīyah	Asia/Damascus
